,timeStamp,sales,transactions
202,2013-07-21 00:00:00,2087.53,302
203,2013-07-22 00:00:00,4363.04,725
204,2013-07-23 00:00:00,4850.12,787
205,2013-07-24 00:00:00,4781.47,748
206,2013-07-25 00:00:00,4999.47,767
207,2013-07-26 00:00:00,5005.35,782
208,2013-07-27 00:00:00,2295.88,351
209,2013-07-28 00:00:00,1951.3,279
210,2013-07-29 00:00:00,4699.86,770
211,2013-07-30 00:00:00,4877.21,809
212,2013-07-31 00:00:00,4594.7,761
213,2013-08-01 00:00:00,5312.63,865
214,2013-08-02 00:00:00,5239.44,834
215,2013-08-03 00:00:00,2954.04,434
216,2013-08-04 00:00:00,2167.02,308
217,2013-08-05 00:00:00,4979.17,810
218,2013-08-06 00:00:00,4652.59,757
219,2013-08-07 00:00:00,4983.08,813
220,2013-08-08 00:00:00,4744.99,760
221,2013-08-09 00:00:00,5093.06,826
222,2013-08-10 00:00:00,3261.02,452
223,2013-08-11 00:00:00,2041.56,288
224,2013-08-12 00:00:00,4582.07,763
225,2013-08-13 00:00:00,4620.94,761
226,2013-08-14 00:00:00,4435.3,744
227,2013-08-15 00:00:00,4698.13,751
228,2013-08-16 00:00:00,5166.15,840
229,2013-08-17 00:00:00,2693.88,399
230,2013-08-18 00:00:00,2295.75,306
231,2013-08-19 00:00:00,3989.67,702
232,2013-08-20 00:00:00,4611.7,789
233,2013-08-21 00:00:00,4549.83,765
234,2013-08-22 00:00:00,4854.0,772
235,2013-08-23 00:00:00,5074.83,827
236,2013-08-24 00:00:00,3060.25,452
237,2013-08-25 00:00:00,2114.61,288
238,2013-08-26 00:00:00,4105.96,717
239,2013-08-27 00:00:00,4081.74,717
240,2013-08-28 00:00:00,4382.5,754
241,2013-08-29 00:00:00,4733.04,801
242,2013-08-30 00:00:00,4827.99,768
243,2013-08-31 00:00:00,2643.94,387
244,2013-09-01 00:00:00,1787.33,276
245,2013-09-02 00:00:00,1933.52,279
246,2013-09-03 00:00:00,4243.11,724
247,2013-09-04 00:00:00,4316.79,750
248,2013-09-05 00:00:00,4622.39,772
249,2013-09-06 00:00:00,4390.54,732
250,2013-09-07 00:00:00,2695.29,385
251,2013-09-08 00:00:00,1939.16,284
252,2013-09-09 00:00:00,4189.91,720
253,2013-09-10 00:00:00,4386.11,784
254,2013-09-11 00:00:00,3901.88,715
255,2013-09-12 00:00:00,4141.14,714
256,2013-09-13 00:00:00,5073.51,819
257,2013-09-14 00:00:00,2647.99,403
258,2013-09-15 00:00:00,2065.75,283
259,2013-09-16 00:00:00,4203.63,712
260,2013-09-17 00:00:00,4419.41,712
261,2013-09-18 00:00:00,4552.06,767
262,2013-09-19 00:00:00,4005.93,716
263,2013-09-20 00:00:00,4821.53,790
264,2013-09-21 00:00:00,2885.53,435
265,2013-09-22 00:00:00,2071.57,282
266,2013-09-23 00:00:00,4253.98,729
267,2013-09-24 00:00:00,4121.74,737
268,2013-09-25 00:00:00,4591.16,794
269,2013-09-26 00:00:00,4424.24,742
270,2013-09-27 00:00:00,4758.32,775
271,2013-09-28 00:00:00,2637.66,389
272,2013-09-29 00:00:00,1783.03,262
273,2013-09-30 00:00:00,4509.43,759
274,2013-10-01 00:00:00,4277.75,749
275,2013-10-02 00:00:00,4634.21,779
276,2013-10-03 00:00:00,4537.54,750
277,2013-10-04 00:00:00,5424.31,848
278,2013-10-05 00:00:00,2801.48,404
279,2013-10-06 00:00:00,2027.57,268
280,2013-10-07 00:00:00,4348.84,720
281,2013-10-08 00:00:00,4545.91,778
282,2013-10-09 00:00:00,4489.53,772
283,2013-10-10 00:00:00,4718.53,811
284,2013-10-11 00:00:00,5431.05,851
285,2013-10-12 00:00:00,2742.3,413
286,2013-10-13 00:00:00,2415.41,314
287,2013-10-14 00:00:00,4237.61,706
288,2013-10-15 00:00:00,4548.53,786
289,2013-10-16 00:00:00,4008.98,725
290,2013-10-17 00:00:00,4479.87,745
291,2013-10-18 00:00:00,5482.78,839
292,2013-10-19 00:00:00,2857.16,429
293,2013-10-20 00:00:00,1933.0,275
294,2013-10-21 00:00:00,4699.78,772
295,2013-10-22 00:00:00,4897.73,804
296,2013-10-23 00:00:00,4808.15,801
297,2013-10-24 00:00:00,4763.68,766
298,2013-10-25 00:00:00,5006.07,802
299,2013-10-26 00:00:00,3034.97,432
300,2013-10-27 00:00:00,2418.88,324
301,2013-10-28 00:00:00,4501.22,775
302,2013-10-29 00:00:00,4564.83,758
303,2013-10-30 00:00:00,4684.38,777
304,2013-10-31 00:00:00,4148.41,681
305,2013-11-01 00:00:00,5217.87,816
306,2013-11-02 00:00:00,3346.59,457
307,2013-11-03 00:00:00,2077.5,281
308,2013-11-04 00:00:00,4486.98,754
309,2013-11-05 00:00:00,4506.95,756
310,2013-11-06 00:00:00,4429.34,718
