aX,aY,aZ,gX,gY,gZ
0.060,-0.710,0.589,7.507,-19.165,-6.042
0.068,-0.639,0.599,7.324,-26.245,-1.526
0.103,-0.625,0.578,8.301,-27.100,-4.822
0.108,-0.627,0.595,4.761,-26.428,-13.062
0.043,-0.702,0.524,7.690,-25.818,-19.592
0.070,-0.755,0.567,4.211,-27.710,-22.461
0.024,-0.844,0.812,6.104,-38.574,-19.836
-0.010,-0.860,0.813,2.869,-31.372,-15.442
-0.040,-0.797,0.721,-8.118,-10.925,-13.733
0.004,-0.746,0.728,-8.789,-2.014,-11.169
-0.007,-0.735,0.723,0.549,-1.160,-14.648
0.002,-0.756,0.617,2.747,0.122,-19.287
-0.002,-0.743,0.574,-2.197,-2.808,-20.935
-0.040,-0.756,0.632,-7.812,-8.240,-23.560
-0.061,-0.788,0.718,-7.141,-13.306,-26.611
-0.017,-0.728,0.750,2.319,-14.587,-23.743
0.045,-0.705,0.695,19.714,-13.916,-18.982
0.031,-0.736,0.816,32.532,-16.541,-21.301
-0.021,-0.876,0.870,42.236,-13.611,-23.987
0.045,-0.956,0.652,37.476,-0.122,-23.743
0.092,-0.869,0.641,30.579,2.991,-17.700
0.028,-0.788,0.737,32.349,-4.150,-15.625
0.010,-0.844,0.664,38.940,-2.136,-18.188
0.008,-0.863,0.599,39.429,4.517,-19.043
0.000,-0.824,0.620,34.912,9.888,-19.531
-0.037,-0.898,0.583,32.166,11.902,-17.273
-0.028,-0.853,0.468,28.748,13.245,-11.963
0.016,-0.822,0.444,16.296,10.132,-5.310
0.060,-0.860,0.392,4.211,2.197,-2.747
0.014,-0.866,0.478,-8.484,-8.972,-4.150
-0.013,-0.824,0.689,-10.864,-24.414,-1.526
-0.057,-0.827,0.822,-2.075,-28.687,1.892
-0.060,-0.884,0.743,13.611,-28.625,4.089
0.015,-0.872,0.589,23.071,-29.663,6.348
-0.013,-0.867,0.517,22.522,-35.217,7.690
0.008,-0.894,0.445,13.062,-36.865,10.132
0.065,-0.795,0.488,-1.343,-38.452,16.418
0.054,-0.768,0.609,-19.348,-41.382,18.127
0.119,-0.619,0.662,-26.245,-37.903,14.160
0.084,-0.809,0.498,-23.865,-35.889,1.221
0.103,-0.854,0.514,-26.855,-38.147,-4.333
0.007,-0.833,0.530,-19.958,-45.532,7.812
-0.117,-0.596,0.635,-2.075,-52.673,27.649
-0.344,-0.668,0.720,22.095,-55.237,31.189
-0.224,-0.779,0.655,22.949,-49.316,14.954
0.029,-0.853,0.578,13.306,-50.232,-3.540
0.002,-0.934,0.588,7.141,-55.969,-5.310
-0.082,-1.003,0.479,6.287,-66.162,10.437
-0.076,-0.855,0.446,2.136,-79.651,33.386
-0.159,-0.750,0.557,-3.357,-94.543,42.603
-0.229,-0.713,0.639,-5.554,-95.093,35.217
-0.209,-0.799,0.787,0.427,-79.834,24.048
-0.162,-0.945,0.621,15.747,-50.781,17.090
-0.069,-0.762,0.504,13.184,-33.325,18.372
-0.133,-0.746,0.479,7.019,-39.124,20.325
-0.204,-0.775,0.548,5.432,-47.424,19.958
-0.320,-0.725,0.747,2.197,-45.837,18.066
-0.226,-0.782,0.761,6.531,-26.123,13.489
-0.145,-0.821,0.763,20.630,-7.629,9.094
-0.112,-0.921,0.639,32.593,4.517,7.874
-0.095,-0.899,0.538,31.677,9.277,7.935
-0.102,-0.926,0.523,21.912,2.808,9.216
-0.083,-0.881,0.508,7.141,-11.292,11.597
