aX,aY,aZ,gX,gY,gZ
0.459,-0.590,0.802,10.803,2.258,6.348
0.464,-0.526,0.824,11.658,3.113,0.671
0.471,-0.488,0.826,12.329,5.920,-5.371
0.461,-0.483,0.808,12.939,9.949,-12.085
0.441,-0.498,0.772,13.000,13.855,-18.433
0.415,-0.512,0.733,11.475,15.991,-21.973
0.395,-0.532,0.708,8.545,14.038,-20.081
0.420,-0.512,0.701,6.287,8.057,-13.550
0.454,-0.448,0.736,3.845,0.610,-7.507
0.473,-0.408,0.792,0.977,-5.066,-5.920
0.472,-0.391,0.833,-1.709,-8.484,-6.592
0.447,-0.392,0.868,-4.211,-8.057,-8.057
0.433,-0.396,0.889,-7.141,-4.578,-9.216
0.426,-0.401,0.903,-9.521,-0.183,-9.155
0.412,-0.396,0.882,-9.277,5.371,-8.789
0.401,-0.392,0.839,-6.226,9.521,-7.690
0.397,-0.402,0.806,-4.150,8.423,-7.507
0.395,-0.418,0.787,-3.906,4.822,-7.935
0.391,-0.420,0.780,-4.456,1.953,-7.935
0.382,-0.416,0.787,-5.493,-0.610,-8.057
0.376,-0.413,0.798,-6.714,-3.235,-8.545
0.362,-0.405,0.819,-8.118,-4.883,-8.545
0.354,-0.398,0.855,-9.583,-5.249,-7.507
0.356,-0.388,0.882,-9.399,-5.005,-4.700
0.370,-0.365,0.888,-7.080,-3.235,-1.648
0.383,-0.336,0.888,-4.822,-0.916,-0.610
0.390,-0.320,0.882,-3.845,2.075,-1.465
0.384,-0.326,0.871,-2.869,4.639,-3.723
0.373,-0.338,0.869,-2.014,6.287,-6.592
0.355,-0.356,0.861,-1.892,7.812,-9.033
0.348,-0.374,0.845,-1.953,8.850,-9.949
0.339,-0.391,0.829,-1.404,8.667,-9.521
0.332,-0.397,0.812,-0.916,7.751,-8.362
0.332,-0.400,0.798,-0.854,5.249,-6.653
0.327,-0.399,0.791,-0.671,2.075,-5.493
0.322,-0.400,0.791,-0.671,-0.427,-5.005
0.328,-0.398,0.808,-1.221,-3.052,-4.150
0.340,-0.391,0.820,-2.136,-4.211,-3.174
0.345,-0.383,0.828,-2.502,-3.113,-2.380
0.357,-0.372,0.837,-3.296,-1.648,-2.869
0.366,-0.368,0.849,-4.211,-1.160,-3.906
0.370,-0.372,0.859,-4.028,-0.854,-4.578
0.378,-0.373,0.863,-3.418,0.000,-4.761

-0.141,1.659,1.008,-59.753,-75.989,147.217
0.128,1.782,1.156,-80.383,-59.753,138.428
0.408,1.799,1.232,-95.398,-42.786,131.409
0.631,1.734,1.284,-101.379,-30.701,132.507
0.822,1.601,1.309,-100.708,-16.541,135.376
0.970,1.456,1.289,-93.201,1.221,130.981
1.041,1.305,1.205,-78.186,22.461,114.929
1.016,1.152,1.078,-57.983,40.527,88.562
0.941,1.005,0.950,-37.354,46.387,59.387
0.852,0.873,0.856,-18.921,38.635,34.058
0.757,0.771,0.824,-3.540,23.865,13.000
0.673,0.712,0.853,6.531,9.827,-5.798
0.596,0.699,0.903,13.123,3.052,-22.278
0.520,0.710,0.940,20.996,5.005,-32.288
0.455,0.745,0.964,30.701,8.057,-35.828
0.430,0.888,0.970,39.978,10.071,-38.757
0.466,1.213,0.973,44.800,15.442,-48.462
0.437,1.459,0.980,44.617,22.156,-68.787
0.338,1.570,1.016,44.312,25.208,-96.252
0.215,1.577,1.028,49.927,27.649,-122.803
0.033,1.442,1.013,63.904,32.715,-140.686
-0.079,1.278,0.979,81.726,43.213,-146.851
-0.164,1.093,0.862,99.915,57.373,-140.747
-0.247,0.919,0.746,110.352,66.284,-130.249
-0.274,0.732,0.646,111.389,64.026,-119.690
-0.276,0.531,0.575,109.619,51.453,-110.352
-0.289,0.377,0.572,105.835,32.959,-105.835
-0.273,0.205,0.597,98.694,18.127,-106.445
-0.214,0.022,0.598,88.867,12.024,-105.347
-0.186,-0.114,0.624,76.050,12.695,-100.525
-0.151,-0.228,0.696,62.561,13.184,-92.041
-0.017,-0.388,0.762,51.880,10.010,-78.979
0.126,-0.535,0.806,44.678,8.057,-64.819
0.205,-0.662,0.835,42.297,10.803,-58.350
0.161,-0.802,0.872,43.457,14.832,-61.340
0.127,-0.949,0.869,48.218,16.602,-64.148
0.085,-1.043,0.842,56.335,19.653,-62.012
0.013,-1.099,0.799,64.331,23.865,-57.617
-0.075,-1.151,0.776,68.054,25.879,-52.307
-0.122,-1.219,0.773,66.406,23.621,-43.457
-0.074,-1.309,0.755,60.242,21.240,-28.809
-0.004,-1.385,0.733,49.500,22.888,-10.864
0.073,-1.392,0.721,34.241,29.114,4.272
0.181,-1.259,0.720,18.677,39.429,15.259
0.275,-1.119,0.736,6.165,48.279,19.531
0.336,-1.013,0.750,-2.319,48.096,18.005
0.443,-0.858,0.769,-5.249,42.419,14.709
0.511,-0.724,0.806,-3.479,35.950,7.324
0.527,-0.670,0.859,-0.061,27.771,-2.380
0.552,-0.664,0.872,5.310,22.156,-8.301
0.579,-0.668,0.855,12.146,20.508,-7.568
0.620,-0.644,0.812,18.494,21.118,-1.709
0.656,-0.574,0.762,21.423,22.949,4.028
0.666,-0.529,0.716,20.142,23.804,4.761
0.660,-0.500,0.680,16.846,20.569,3.174
0.669,-0.453,0.673,13.672,11.963,3.479
0.689,-0.392,0.685,11.475,0.854,5.005
0.703,-0.343,0.702,9.521,-10.071,5.676
0.723,-0.301,0.724,7.080,-18.494,3.662
0.705,-0.276,0.778,2.441,-23.132,-1.526
0.683,-0.282,0.838,-2.869,-23.193,-7.141
0.657,-0.303,0.862,-4.822,-18.433,-9.827
0.610,-0.322,0.883,-3.479,-11.414,-10.010
0.602,-0.325,0.884,-1.221,-4.395,-9.216
0.594,-0.329,0.865,0.916,2.197,-8.789
0.564,-0.338,0.851,0.610,8.362,-10.559
0.540,-0.351,0.833,-0.488,11.658,-12.207
0.526,-0.359,0.812,0.366,11.902,-12.329
0.515,-0.361,0.807,1.953,9.583,-11.902
0.510,-0.366,0.806,3.296,4.944,-10.864
0.506,-0.374,0.803,3.967,0.549,-10.559
0.483,-0.378,0.809,3.357,-1.587,-10.559
0.467,-0.373,0.822,1.709,-3.113,-9.644
0.456,-0.372,0.838,0.549,-3.967,-8.606
0.444,-0.366,0.841,-0.122,-3.845,-8.423
0.450,-0.347,0.847,0.000,-3.662,-8.057
0.451,-0.334,0.858,-0.488,-3.540,-8.850
0.430,-0.343,0.872,-1.160,-2.502,-11.108
0.409,-0.355,0.878,-0.610,-0.793,-12.939
0.388,-0.352,0.877,0.000,1.160,-13.306
0.371,-0.359,0.876,1.038,2.319,-12.817
0.368,-0.371,0.869,3.113,1.770,-10.620
0.371,-0.377,0.864,4.761,0.793,-8.789
0.365,-0.373,0.855,4.517,1.221,-7.324
0.366,-0.375,0.849,3.723,1.526,-4.822
0.381,-0.359,0.851,2.991,0.366,-1.831
0.409,-0.328,0.859,2.747,-0.305,-0.305
0.430,-0.308,0.865,3.174,-0.366,-0.793
0.441,-0.301,0.865,4.028,0.488,-3.296
0.436,-0.308,0.857,4.822,1.587,-5.859
0.425,-0.326,0.855,5.798,1.953,-6.836
0.418,-0.345,0.846,7.324,1.892,-5.859
0.421,-0.357,0.829,9.583,2.075,-3.540
0.421,-0.363,0.810,11.108,1.648,-2.014
0.416,-0.378,0.793,11.047,1.465,-1.404
0.417,-0.391,0.777,8.911,2.686,-0.671
0.425,-0.392,0.766,5.859,4.578,1.099
0.435,-0.382,0.761,2.625,6.042,2.991
0.456,-0.360,0.761,0.183,6.775,3.906
0.477,-0.347,0.773,-0.610,5.859,3.235
0.481,-0.353,0.791,0.671,3.052,1.160
0.481,-0.365,0.791,2.930,1.343,-0.854
0.468,-0.376,0.785,4.089,1.282,-2.380
0.459,-0.381,0.783,3.357,1.892,-2.563
0.467,-0.382,0.785,2.502,1.831,-1.587
0.471,-0.379,0.791,2.258,0.916,-1.099
0.473,-0.374,0.787,2.625,-0.122,-1.343
0.468,-0.375,0.789,3.235,-0.427,-1.465
0.464,-0.378,0.797,3.723,-1.221,-1.160
0.459,-0.376,0.803,4.150,-2.136,-0.732
0.454,-0.376,0.804,3.906,-2.014,-0.854
0.450,-0.373,0.797,2.625,-0.122,-0.977
0.447,-0.365,0.790,1.038,1.465,-0.488
0.453,-0.357,0.782,0.305,1.892,0.427
0.458,-0.348,0.770,0.366,1.709,0.122
0.456,-0.341,0.757,0.671,1.648,-0.671
0.447,-0.340,0.757,0.305,0.183,-1.099
0.439,-0.348,0.767,0.061,-2.258,-0.854
0.438,-0.345,0.780,0.671,-3.906,-0.305

-0.155,1.649,1.051,-80.627,-85.083,124.512
0.110,1.735,1.270,-96.008,-66.833,120.911
0.348,1.810,1.377,-108.337,-48.706,124.146
0.513,1.753,1.359,-110.352,-31.006,134.949
0.650,1.544,1.240,-106.628,-6.042,148.987
0.745,1.380,1.146,-101.990,18.982,153.381
0.800,1.253,1.076,-93.872,38.574,141.663
0.799,1.086,0.972,-79.712,49.377,119.873
0.771,0.941,0.889,-60.120,48.828,94.971
0.715,0.810,0.848,-39.490,39.063,70.068
0.647,0.735,0.855,-21.790,24.109,48.157
0.632,0.696,0.886,-7.080,10.986,29.968
0.609,0.690,0.901,5.005,4.089,14.709
0.612,0.723,0.904,15.503,2.563,2.014
0.579,0.751,0.888,24.902,2.625,-8.850
0.505,0.795,0.893,29.480,1.160,-22.827
0.427,0.887,0.934,29.663,-0.183,-38.391
0.359,1.010,0.955,31.311,1.160,-50.232
0.303,1.205,0.951,39.612,3.418,-57.190
0.234,1.291,0.912,52.795,6.470,-66.406
0.143,1.345,0.889,60.425,12.451,-80.505
0.095,1.375,0.876,62.195,20.203,-94.910
0.084,1.318,0.839,63.721,28.442,-102.417
-0.009,1.177,0.831,66.040,32.715,-103.271
-0.079,1.042,0.871,67.505,29.480,-99.060
-0.071,0.864,0.870,72.632,19.836,-91.431
-0.090,0.698,0.865,81.177,10.925,-87.402
-0.104,0.566,0.913,85.693,6.042,-89.661
-0.040,0.349,0.918,83.191,9.033,-93.811
0.001,0.133,0.870,73.181,21.729,-94.421
-0.012,-0.015,0.803,61.096,36.438,-90.576
-0.006,-0.129,0.751,52.307,43.579,-84.473
-0.003,-0.210,0.743,48.950,40.039,-78.491
0.011,-0.277,0.763,50.903,28.931,-71.838
0.069,-0.372,0.758,55.969,17.456,-64.697
0.129,-0.479,0.764,59.692,10.742,-58.594
0.187,-0.580,0.770,57.983,9.277,-54.138
0.238,-0.681,0.764,51.697,10.986,-49.927
0.303,-0.779,0.728,43.945,16.663,-43.030
0.356,-0.841,0.691,37.842,24.719,-32.593
0.398,-0.888,0.664,33.691,30.701,-22.339
0.421,-0.926,0.637,30.457,31.433,-16.235
0.428,-0.958,0.651,27.466,29.358,-15.808
0.433,-0.975,0.674,20.874,27.283,-19.043
0.424,-0.982,0.686,14.282,28.259,-21.240
0.415,-0.979,0.685,10.132,29.480,-19.165
0.434,-0.973,0.695,7.568,25.879,-13.550
0.486,-0.959,0.708,6.714,17.639,-6.226
0.537,-0.930,0.738,7.874,10.193,-0.854
0.579,-0.927,0.776,8.789,5.981,0.854
0.686,-0.967,0.738,8.728,6.165,2.869
0.802,-0.985,0.655,8.240,8.911,7.446
0.872,-0.958,0.606,5.737,5.310,10.559
0.876,-0.898,0.641,0.854,-8.789,7.690
0.800,-0.846,0.766,-5.066,-31.311,-1.343
0.686,-0.782,0.910,-9.033,-52.673,-12.329
0.538,-0.703,1.043,-11.475,-66.040,-22.583
0.423,-0.591,1.171,-13.489,-69.946,-30.273
0.369,-0.507,1.211,-12.512,-65.125,-33.508
0.328,-0.417,1.195,-7.690,-53.772,-31.250
0.269,-0.371,1.173,-2.380,-39.673,-28.137
0.255,-0.317,1.135,1.953,-22.522,-21.118
0.303,-0.250,1.065,7.874,-4.822,-9.644
0.375,-0.202,0.942,13.428,13.245,1.465
0.426,-0.158,0.830,15.564,29.053,9.766
0.459,-0.120,0.767,13.611,35.278,12.756
0.501,-0.089,0.728,9.216,32.959,12.207
0.539,-0.046,0.706,5.798,27.527,11.841
0.585,0.000,0.690,5.188,23.987,11.658
0.618,0.030,0.683,6.714,20.569,10.132
0.624,0.038,0.682,7.507,13.428,5.493
0.597,0.006,0.698,8.484,7.446,-1.953
0.575,-0.029,0.705,9.888,5.249,-9.155
0.557,-0.063,0.689,11.475,6.958,-13.611
0.521,-0.107,0.679,11.353,8.423,-16.785
0.493,-0.153,0.671,7.996,8.301,-20.752
0.466,-0.196,0.679,2.502,6.714,-23.499
0.420,-0.232,0.725,-3.906,1.221,-24.414
0.383,-0.269,0.787,-10.132,-6.348,-23.376
0.367,-0.298,0.857,-13.489,-13.794,-20.447
0.349,-0.312,0.935,-14.648,-19.104,-17.395
0.345,-0.326,0.992,-13.977,-20.325,-14.587
0.354,-0.327,1.026,-11.536,-17.639,-11.902
0.361,-0.319,1.041,-7.690,-13.123,-9.827
0.361,-0.306,1.037,-3.906,-7.996,-8.057
0.361,-0.296,1.018,-1.221,-3.418,-6.348
0.376,-0.269,1.005,0.061,-0.610,-4.150
0.400,-0.251,0.990,1.221,0.732,-1.587
0.425,-0.236,0.960,2.625,1.465,0.183
0.441,-0.223,0.939,4.150,0.671,0.671
0.449,-0.213,0.924,5.127,-0.916,-0.244
0.452,-0.212,0.912,5.737,-1.648,-0.793
0.454,-0.214,0.906,5.920,-1.465,-1.038
0.464,-0.211,0.886,5.859,0.549,-1.343
0.470,-0.212,0.859,5.310,3.052,-2.686
0.468,-0.220,0.835,5.371,3.845,-4.395
0.456,-0.230,0.831,5.676,2.808,-5.493
0.445,-0.252,0.833,5.981,0.977,-6.531
0.442,-0.278,0.830,6.592,0.061,-6.714
0.434,-0.298,0.815,6.775,1.282,-6.714
0.429,-0.307,0.793,5.798,3.174,-6.592
0.437,-0.306,0.778,4.517,3.540,-5.859
0.436,-0.309,0.778,3.174,1.709,-4.761
0.429,-0.315,0.780,1.892,0.000,-4.028
0.428,-0.312,0.789,1.038,-0.549,-2.747
