,domain,entity_id,state,last_changed,attributes,entity_name,device_class,unit_of_measurement,friendly_name
6232,binary_sensor,binary_sensor.office_sensor_motion,1.0,2019-12-30 09:01:43.038772,"{'battery_level': 53, 'sensitivity': 2, 'sensitivity_max': 2, 'friendly_name': 'Office sensor motion', 'device_class': 'motion'}",office_sensor_motion,motion,unknown,Office sensor motion
6233,sensor,sensor.netatmo_master_bedroom_pressure,1029.7,2019-12-30 09:01:37.316626,"{'unit_of_measurement': 'mbar', 'friendly_name': 'netatmo Master Bedroom Pressure', 'icon': 'mdi:gauge'}",netatmo_master_bedroom_pressure,unknown,mbar,netatmo Master Bedroom Pressure
6234,sensor,sensor.netatmo_master_bedroom_noise,40.0,2019-12-30 09:01:37.311927,"{'unit_of_measurement': 'dB', 'friendly_name': 'netatmo Master Bedroom Noise', 'icon': 'mdi:volume-high'}",netatmo_master_bedroom_noise,unknown,dB,netatmo Master Bedroom Noise
6235,sensor,sensor.netatmo_master_bedroom_humidity,63.0,2019-12-30 09:01:37.307862,"{'unit_of_measurement': '%', 'friendly_name': 'netatmo Master Bedroom Humidity', 'icon': 'mdi:water-percent', 'device_class': 'humidity'}",netatmo_master_bedroom_humidity,humidity,%,netatmo Master Bedroom Humidity
6236,sensor,sensor.netatmo_master_bedroom_co2,692.0,2019-12-30 09:01:37.299642,"{'unit_of_measurement': 'ppm', 'friendly_name': 'netatmo Master Bedroom CO2', 'icon': 'mdi:periodic-table-co2'}",netatmo_master_bedroom_co2,unknown,ppm,netatmo Master Bedroom CO2
6238,binary_sensor,binary_sensor.office_sensor_motion,0.0,2019-12-30 09:00:49.032032,"{'battery_level': 53, 'sensitivity': 2, 'sensitivity_max': 2, 'friendly_name': 'Office sensor motion', 'device_class': 'motion'}",office_sensor_motion,motion,unknown,Office sensor motion
6239,sensor,sensor.hue_front_porch_sensor_light_level,574.65,2019-12-30 09:00:25.031629,"{'battery_level': 100, 'lightlevel': 27595, 'daylight': True, 'dark': False, 'threshold_dark': 16758, 'threshold_offset': 7000, 'unit_of_measurement': 'lx', 'friendly_name': 'Hue front porch sensor light level', 'device_class': 'illuminance'}",hue_front_porch_sensor_light_level,illuminance,lx,Hue front porch sensor light level
6240,sensor,sensor.next_train_to_wat,45.0,2019-12-30 09:00:16.381740,"{'station_code': 'MAL', 'calling_at': 'WAT', 'next_trains': [{'origin_name': 'Chessington South', 'destination_name': 'London Waterloo', 'status': 'ON TIME', 'scheduled': '09:45', 'estimated': '09:45', 'platform': None, 'operator_name': 'South Western Railway'}, {'origin_name': 'Chessington South', 'destination_name': 'London Waterloo', 'status': 'ON TIME', 'scheduled': '10:45', 'estimated': '10:45', 'platform': None, 'operator_name': 'South Western Railway'}], 'unit_of_measurement': 'min', 'friendly_name': 'Next train to WAT', 'icon': 'mdi:train'}",next_train_to_wat,unknown,min,Next train to WAT
6241,sensor,sensor.office_sensor_light_level,308.39,2019-12-30 09:00:01.048740,"{'battery_level': 53, 'lightlevel': 24892, 'daylight': True, 'dark': False, 'threshold_dark': 16000, 'threshold_offset': 7000, 'unit_of_measurement': 'lx', 'friendly_name': 'Office sensor light level', 'device_class': 'illuminance'}",office_sensor_light_level,illuminance,lx,Office sensor light level
6243,sensor,sensor.office_sensor_light_level,164.21,2019-12-30 08:59:55.040473,"{'battery_level': 53, 'lightlevel': 22155, 'daylight': False, 'dark': False, 'threshold_dark': 16000, 'threshold_offset': 7000, 'unit_of_measurement': 'lx', 'friendly_name': 'Office sensor light level', 'device_class': 'illuminance'}",office_sensor_light_level,illuminance,lx,Office sensor light level
6244,binary_sensor,binary_sensor.hue_motion_sensor_1_motion,0.0,2019-12-30 08:59:49.048069,"{'battery_level': 100, 'sensitivity': 2, 'sensitivity_max': 2, 'friendly_name': 'Downstairs hallway motion', 'device_class': 'motion'}",hue_motion_sensor_1_motion,motion,unknown,Downstairs hallway motion
6245,binary_sensor,binary_sensor.office_sensor_motion,1.0,2019-12-30 08:59:43.048157,"{'battery_level': 53, 'sensitivity': 2, 'sensitivity_max': 2, 'friendly_name': 'Office sensor motion', 'device_class': 'motion'}",office_sensor_motion,motion,unknown,Office sensor motion
6246,sensor,sensor.living_room_sensor_light_level,22.26,2019-12-30 08:59:37.039086,"{'battery_level': 61, 'lightlevel': 13477, 'daylight': False, 'dark': True, 'threshold_dark': 16000, 'threshold_offset': 7000, 'unit_of_measurement': 'lx', 'friendly_name': 'Living room sensor light level', 'device_class': 'illuminance'}",living_room_sensor_light_level,illuminance,lx,Living room sensor light level
6247,binary_sensor,binary_sensor.hue_motion_sensor_1_motion,1.0,2019-12-30 08:59:31.047561,"{'battery_level': 100, 'sensitivity': 2, 'sensitivity_max': 2, 'friendly_name': 'Downstairs hallway motion', 'device_class': 'motion'}",hue_motion_sensor_1_motion,motion,unknown,Downstairs hallway motion
6248,sensor,sensor.garden_sensor_light_level,1666.1,2019-12-30 08:59:25.043939,"{'battery_level': 100, 'lightlevel': 32218, 'daylight': True, 'dark': False, 'threshold_dark': 16000, 'threshold_offset': 7000, 'unit_of_measurement': 'lx', 'friendly_name': 'Garden sensor light level', 'device_class': 'illuminance'}",garden_sensor_light_level,illuminance,lx,Garden sensor light level
6249,sensor,sensor.hue_front_porch_sensor_temperature,5.83,2019-12-30 08:59:13.045253,"{'battery_level': 100, 'unit_of_measurement': '°C', 'friendly_name': 'Hue front porch sensor temperature', 'device_class': 'temperature'}",hue_front_porch_sensor_temperature,temperature,°C,Hue front porch sensor temperature
6251,sensor,sensor.office_sensor_light_level,553.1,2019-12-30 08:58:49.065496,"{'battery_level': 53, 'lightlevel': 27429, 'daylight': True, 'dark': False, 'threshold_dark': 16000, 'threshold_offset': 7000, 'unit_of_measurement': 'lx', 'friendly_name': 'Office sensor light level', 'device_class': 'illuminance'}",office_sensor_light_level,illuminance,lx,Office sensor light level
6252,sensor,sensor.next_train_to_wat,47.0,2019-12-30 08:58:43.395574,"{'station_code': 'MAL', 'calling_at': 'WAT', 'next_trains': [{'origin_name': 'Chessington South', 'destination_name': 'London Waterloo', 'status': 'ON TIME', 'scheduled': '09:45', 'estimated': '09:45', 'platform': None, 'operator_name': 'South Western Railway'}, {'origin_name': 'Chessington South', 'destination_name': 'London Waterloo', 'status': 'ON TIME', 'scheduled': '10:45', 'estimated': '10:45', 'platform': None, 'operator_name': 'South Western Railway'}], 'unit_of_measurement': 'min', 'friendly_name': 'Next train to WAT', 'icon': 'mdi:train'}",next_train_to_wat,unknown,min,Next train to WAT
6253,sensor,sensor.garden_sensor_temperature,1.79,2019-12-30 08:58:31.041290,"{'battery_level': 100, 'unit_of_measurement': '°C', 'friendly_name': 'Garden sensor temperature', 'device_class': 'temperature'}",garden_sensor_temperature,temperature,°C,Garden sensor temperature
6255,binary_sensor,binary_sensor.hue_motion_sensor_1_motion,0.0,2019-12-30 08:57:31.075447,"{'battery_level': 100, 'sensitivity': 2, 'sensitivity_max': 2, 'friendly_name': 'Downstairs hallway motion', 'device_class': 'motion'}",hue_motion_sensor_1_motion,motion,unknown,Downstairs hallway motion
6256,binary_sensor,binary_sensor.living_room_sensor_motion,1.0,2019-12-30 08:57:25.039946,"{'battery_level': 61, 'sensitivity': 2, 'sensitivity_max': 2, 'friendly_name': 'Living room sensor motion', 'device_class': 'motion'}",living_room_sensor_motion,motion,unknown,Living room sensor motion
6257,sensor,sensor.next_train_to_wat,48.0,2019-12-30 08:57:10.395758,"{'station_code': 'MAL', 'calling_at': 'WAT', 'next_trains': [{'origin_name': 'Chessington South', 'destination_name': 'London Waterloo', 'status': 'ON TIME', 'scheduled': '09:45', 'estimated': '09:45', 'platform': None, 'operator_name': 'South Western Railway'}, {'origin_name': 'Chessington South', 'destination_name': 'London Waterloo', 'status': 'ON TIME', 'scheduled': '10:45', 'estimated': '10:45', 'platform': None, 'operator_name': 'South Western Railway'}], 'unit_of_measurement': 'min', 'friendly_name': 'Next train to WAT', 'icon': 'mdi:train'}",next_train_to_wat,unknown,min,Next train to WAT
6258,sensor,sensor.hue_motion_sensor_1_light_level,218.12,2019-12-30 08:57:01.054466,"{'battery_level': 100, 'lightlevel': 23388, 'daylight': True, 'dark': False, 'threshold_dark': 16000, 'threshold_offset': 7000, 'unit_of_measurement': 'lx', 'friendly_name': 'Downstairs hallway light level', 'device_class': 'illuminance'}",hue_motion_sensor_1_light_level,illuminance,lx,Downstairs hallway light level
6259,binary_sensor,binary_sensor.hue_motion_sensor_1_motion,1.0,2019-12-30 08:57:01.052055,"{'battery_level': 100, 'sensitivity': 2, 'sensitivity_max': 2, 'friendly_name': 'Downstairs hallway motion', 'device_class': 'motion'}",hue_motion_sensor_1_motion,motion,unknown,Downstairs hallway motion
6261,sensor,sensor.netatmo_master_bedroom_noise,38.0,2019-12-30 08:56:29.290569,"{'unit_of_measurement': 'dB', 'friendly_name': 'netatmo Master Bedroom Noise', 'icon': 'mdi:volume-high'}",netatmo_master_bedroom_noise,unknown,dB,netatmo Master Bedroom Noise
6262,sensor,sensor.netatmo_master_bedroom_temperature,16.6,2019-12-30 08:56:29.286484,"{'unit_of_measurement': '°C', 'friendly_name': 'netatmo Master Bedroom Temperature', 'icon': 'mdi:thermometer', 'device_class': 'temperature'}",netatmo_master_bedroom_temperature,temperature,°C,netatmo Master Bedroom Temperature
6263,sensor,sensor.netatmo_master_bedroom_co2,683.0,2019-12-30 08:56:29.282693,"{'unit_of_measurement': 'ppm', 'friendly_name': 'netatmo Master Bedroom CO2', 'icon': 'mdi:periodic-table-co2'}",netatmo_master_bedroom_co2,unknown,ppm,netatmo Master Bedroom CO2
6264,sensor,sensor.netatmo_master_bedroom_pressure,1029.6,2019-12-30 08:56:29.275023,"{'unit_of_measurement': 'mbar', 'friendly_name': 'netatmo Master Bedroom Pressure', 'icon': 'mdi:gauge'}",netatmo_master_bedroom_pressure,unknown,mbar,netatmo Master Bedroom Pressure
6265,binary_sensor,binary_sensor.hue_motion_sensor_1_motion,0.0,2019-12-30 08:56:13.066306,"{'battery_level': 100, 'sensitivity': 2, 'sensitivity_max': 2, 'friendly_name': 'Downstairs hallway motion', 'device_class': 'motion'}",hue_motion_sensor_1_motion,motion,unknown,Downstairs hallway motion
6267,sensor,sensor.hue_motion_sensor_1_temperature,11.21,2019-12-30 08:55:49.042565,"{'battery_level': 100, 'unit_of_measurement': '°C', 'friendly_name': 'Downstairs hallway temperature', 'device_class': 'temperature'}",hue_motion_sensor_1_temperature,temperature,°C,Downstairs hallway temperature
6268,sensor,sensor.next_train_to_wat,50.0,2019-12-30 08:55:37.374468,"{'station_code': 'MAL', 'calling_at': 'WAT', 'next_trains': [{'origin_name': 'Chessington South', 'destination_name': 'London Waterloo', 'status': 'ON TIME', 'scheduled': '09:45', 'estimated': '09:45', 'platform': None, 'operator_name': 'South Western Railway'}, {'origin_name': 'Chessington South', 'destination_name': 'London Waterloo', 'status': 'ON TIME', 'scheduled': '10:45', 'estimated': '10:45', 'platform': None, 'operator_name': 'South Western Railway'}], 'unit_of_measurement': 'min', 'friendly_name': 'Next train to WAT', 'icon': 'mdi:train'}",next_train_to_wat,unknown,min,Next train to WAT
6269,sensor,sensor.hue_front_porch_sensor_light_level,517.73,2019-12-30 08:55:25.041211,"{'battery_level': 100, 'lightlevel': 27142, 'daylight': True, 'dark': False, 'threshold_dark': 16758, 'threshold_offset': 7000, 'unit_of_measurement': 'lx', 'friendly_name': 'Hue front porch sensor light level', 'device_class': 'illuminance'}",hue_front_porch_sensor_light_level,illuminance,lx,Hue front porch sensor light level
6270,binary_sensor,binary_sensor.hue_motion_sensor_1_motion,1.0,2019-12-30 08:55:19.043724,"{'battery_level': 100, 'sensitivity': 2, 'sensitivity_max': 2, 'friendly_name': 'Downstairs hallway motion', 'device_class': 'motion'}",hue_motion_sensor_1_motion,motion,unknown,Downstairs hallway motion
6271,binary_sensor,binary_sensor.living_room_sensor_motion,0.0,2019-12-30 08:55:19.041191,"{'battery_level': 61, 'sensitivity': 2, 'sensitivity_max': 2, 'friendly_name': 'Living room sensor motion', 'device_class': 'motion'}",living_room_sensor_motion,motion,unknown,Living room sensor motion
6272,binary_sensor,binary_sensor.living_room_sensor_motion,1.0,2019-12-30 08:55:07.041827,"{'battery_level': 61, 'sensitivity': 2, 'sensitivity_max': 2, 'friendly_name': 'Living room sensor motion', 'device_class': 'motion'}",living_room_sensor_motion,motion,unknown,Living room sensor motion
6273,binary_sensor,binary_sensor.hue_motion_sensor_1_motion,0.0,2019-12-30 08:55:01.052723,"{'battery_level': 100, 'sensitivity': 2, 'sensitivity_max': 2, 'friendly_name': 'Downstairs hallway motion', 'device_class': 'motion'}",hue_motion_sensor_1_motion,motion,unknown,Downstairs hallway motion
6274,binary_sensor,binary_sensor.living_room_sensor_motion,0.0,2019-12-30 08:55:01.049953,"{'battery_level': 61, 'sensitivity': 2, 'sensitivity_max': 2, 'friendly_name': 'Living room sensor motion', 'device_class': 'motion'}",living_room_sensor_motion,motion,unknown,Living room sensor motion
6276,binary_sensor,binary_sensor.living_room_sensor_motion,1.0,2019-12-30 08:54:55.068910,"{'battery_level': 61, 'sensitivity': 2, 'sensitivity_max': 2, 'friendly_name': 'Living room sensor motion', 'device_class': 'motion'}",living_room_sensor_motion,motion,unknown,Living room sensor motion
6277,binary_sensor,binary_sensor.living_room_sensor_motion,0.0,2019-12-30 08:54:37.048171,"{'battery_level': 61, 'sensitivity': 2, 'sensitivity_max': 2, 'friendly_name': 'Living room sensor motion', 'device_class': 'motion'}",living_room_sensor_motion,motion,unknown,Living room sensor motion
6278,sensor,sensor.garden_sensor_light_level,1536.38,2019-12-30 08:54:25.064115,"{'battery_level': 100, 'lightlevel': 31866, 'daylight': True, 'dark': False, 'threshold_dark': 16000, 'threshold_offset': 7000, 'unit_of_measurement': 'lx', 'friendly_name': 'Garden sensor light level', 'device_class': 'illuminance'}",garden_sensor_light_level,illuminance,lx,Garden sensor light level
6279,binary_sensor,binary_sensor.hue_motion_sensor_1_motion,1.0,2019-12-30 08:54:25.058865,"{'battery_level': 100, 'sensitivity': 2, 'sensitivity_max': 2, 'friendly_name': 'Downstairs hallway motion', 'device_class': 'motion'}",hue_motion_sensor_1_motion,motion,unknown,Downstairs hallway motion
6280,binary_sensor,binary_sensor.hue_motion_sensor_1_motion,0.0,2019-12-30 08:54:19.041434,"{'battery_level': 100, 'sensitivity': 2, 'sensitivity_max': 2, 'friendly_name': 'Downstairs hallway motion', 'device_class': 'motion'}",hue_motion_sensor_1_motion,motion,unknown,Downstairs hallway motion
